start_year,judge_name,count
2023,ANDREW J. SANTOLI,27
2022,ANDREW J. SANTOLI,262
2021,ANDREW J. SANTOLI,345
2020,ANDREW J. SANTOLI,145
2019,ANDREW J. SANTOLI,35
2018,ANDREW J. SANTOLI,13
2017,ANDREW J. SANTOLI,4
2016,ANDREW J. SANTOLI,4
2023,ARRAIGNMENT ROOM,242
2022,ARRAIGNMENT ROOM,1044
2021,ARRAIGNMENT ROOM,1137
2020,ARRAIGNMENT ROOM,1042
2019,ARRAIGNMENT ROOM,1002
2018,ARRAIGNMENT ROOM,862
2017,ARRAIGNMENT ROOM,814
2016,ARRAIGNMENT ROOM,703
2023,ASHLEY KILBANE,27
2022,ASHLEY KILBANE,205
2021,ASHLEY KILBANE,271
2020,ASHLEY KILBANE,234
2019,ASHLEY KILBANE,319
2018,ASHLEY KILBANE,118
2017,ASHLEY KILBANE,24
2016,ASHLEY KILBANE,11
2023,BRENDAN J SHEEHAN,3
2022,BRENDAN J SHEEHAN,70
2021,BRENDAN J SHEEHAN,92
2020,BRENDAN J SHEEHAN,46
2019,BRENDAN J SHEEHAN,227
2018,BRENDAN J SHEEHAN,257
2017,BRENDAN J SHEEHAN,294
2016,BRENDAN J SHEEHAN,259
2022,BRIAN J CORRIGAN,120
2021,BRIAN J CORRIGAN,248
2020,BRIAN J CORRIGAN,203
2019,BRIAN J CORRIGAN,261
2018,BRIAN J CORRIGAN,319
2017,BRIAN J CORRIGAN,314
2016,BRIAN J CORRIGAN,318
2015,BRIAN J CORRIGAN,1
2023,BRIAN MOONEY,20
2022,BRIAN MOONEY,56
2021,BRIAN MOONEY,10
2020,BRIAN MOONEY,7
2019,BRIAN MOONEY,9
2018,BRIAN MOONEY,2
2017,BRIAN MOONEY,1
2022,CARL J MAZZONE,1
2021,CARL J MAZZONE,2
2020,CARL J MAZZONE,5
2019,CARL J MAZZONE,2
2017,CARL J MAZZONE,1
2016,CARL J MAZZONE,1
2018,CAROLYN B FRIEDLAND,136
2017,CAROLYN B FRIEDLAND,290
2016,CAROLYN B FRIEDLAND,297
2023,CASSANDRA COLLIER-WILLIAMS,20
2022,CASSANDRA COLLIER-WILLIAMS,239
2021,CASSANDRA COLLIER-WILLIAMS,263
2020,CASSANDRA COLLIER-WILLIAMS,222
2019,CASSANDRA COLLIER-WILLIAMS,334
2018,CASSANDRA COLLIER-WILLIAMS,290
2017,CASSANDRA COLLIER-WILLIAMS,318
2016,CASSANDRA COLLIER-WILLIAMS,319
2023,DANIEL GAUL,24
2022,DANIEL GAUL,245
2021,DANIEL GAUL,293
2020,DANIEL GAUL,267
2019,DANIEL GAUL,350
2018,DANIEL GAUL,375
2017,DANIEL GAUL,365
2016,DANIEL GAUL,382
2015,DANIEL GAUL,1
2018,DAVID L. FUHRY,1
2023,DAVID T MATIA,17
2022,DAVID T MATIA,215
2021,DAVID T MATIA,270
2020,DAVID T MATIA,220
2019,DAVID T MATIA,318
2018,DAVID T MATIA,273
2017,DAVID T MATIA,353
2016,DAVID T MATIA,286
2023,DEBORAH M TURNER,21
2022,DEBORAH M TURNER,199
2021,DEBORAH M TURNER,236
2020,DEBORAH M TURNER,214
2019,DEBORAH M TURNER,354
2018,DEBORAH M TURNER,136
2017,DEBORAH M TURNER,30
2016,DEBORAH M TURNER,10
2023,DEENA R CALABRESE,37
2022,DEENA R CALABRESE,283
2021,DEENA R CALABRESE,307
2020,DEENA R CALABRESE,291
2019,DEENA R CALABRESE,301
2018,DEENA R CALABRESE,312
2017,DEENA R CALABRESE,361
2016,DEENA R CALABRESE,319
2021,DICK AMBROSE,106
2020,DICK AMBROSE,171
2019,DICK AMBROSE,315
2018,DICK AMBROSE,330
2017,DICK AMBROSE,354
2016,DICK AMBROSE,314
2022,DIVERSION PROGRAM,5
2021,DIVERSION PROGRAM,20
2020,DIVERSION PROGRAM,22
2019,DIVERSION PROGRAM,36
2018,DIVERSION PROGRAM,19
